Game_ID,Date,Start_Time_ET,Visitor_Team_Name,Visitor_Team_ID,Visitor_PTS,Home_Team_Name,Home_Team_ID,Home_PTS,Box_Score_Link,Arena,Attendance,Notes,Season_End_Year,Home_Win,Point_Differential,Game_Duration
202403210DEN,2024-03-21,9:00p,New York Knicks,NYK,100,Denver Nuggets,DEN,113,/boxscores/202403210DEN.html,Ball Arena,19811.0,,2024,1,13,2:13
202403210PHO,2024-03-21,10:30p,Atlanta Hawks,ATL,115,Phoenix Suns,PHO,128,/boxscores/202403210PHO.html,Footprint Center,17071.0,,2024,1,13,2:21
202403220DET,2024-03-22,7:00p,Boston Celtics,BOS,129,Detroit Pistons,DET,102,/boxscores/202403220DET.html,Little Caesars Arena,19994.0,,2024,0,-27,1:59
202403220TOR,2024-03-22,7:00p,Oklahoma City Thunder,OKC,123,Toronto Raptors,TOR,103,/boxscores/202403220TOR.html,Scotiabank Arena,19601.0,,2024,0,-20,2:01
202403220MIA,2024-03-22,8:00p,New Orleans Pelicans,NOP,111,Miami Heat,MIA,88,/boxscores/202403220MIA.html,Kaseya Center,19727.0,,2024,0,-23,1:57
202403220MIN,2024-03-22,8:00p,Cleveland Cavaliers,CLE,91,Minnesota Timberwolves,MIN,104,/boxscores/202403220MIN.html,Target Center,18024.0,,2024,1,13,2:02
202403220SAS,2024-03-22,8:00p,Memphis Grizzlies,MEM,99,San Antonio Spurs,SAS,97,/boxscores/202403220SAS.html,Frost Bank Center,17408.0,,2024,0,-2,2:20
202403220GSW,2024-03-22,10:00p,Indiana Pacers,IND,123,Golden State Warriors,GSW,111,/boxscores/202403220GSW.html,Chase Center,18064.0,,2024,0,-12,2:13
202403220POR,2024-03-22,10:00p,Los Angeles Clippers,LAC,125,Portland Trail Blazers,POR,117,/boxscores/202403220POR.html,Moda Center,18660.0,,2024,0,-8,2:05
202403220LAL,2024-03-22,10:30p,Philadelphia 76ers,PHI,94,Los Angeles Lakers,LAL,101,/boxscores/202403220LAL.html,Crypto.com Arena,18997.0,,2024,1,7,2:18
202403230NYK,2024-03-23,1:00p,Brooklyn Nets,BRK,93,New York Knicks,NYK,105,/boxscores/202403230NYK.html,Madison Square Garden (IV),19812.0,,2024,1,12,2:00
202403230ORL,2024-03-23,7:00p,Sacramento Kings,SAC,109,Orlando Magic,ORL,107,/boxscores/202403230ORL.html,Kia Center,18307.0,,2024,0,-2,2:18
202403230ATL,2024-03-23,7:30p,Charlotte Hornets,CHO,91,Atlanta Hawks,ATL,132,/boxscores/202403230ATL.html,State Farm Arena,17900.0,,2024,1,41,1:59
202403230CHI,2024-03-23,8:00p,Boston Celtics,BOS,124,Chicago Bulls,CHI,113,/boxscores/202403230CHI.html,United Center,21198.0,,2024,0,-11,2:00
202403230HOU,2024-03-23,8:00p,Utah Jazz,UTA,119,Houston Rockets,HOU,147,/boxscores/202403230HOU.html,Toyota Center,18055.0,,2024,1,28,2:10
